mesh,nodes,cells,periodic_unknowns,h_3d,steps,time,L1,L2,Linf,p_L1,p_L2,p_Linf,initial_L2
iv10,745,1024,512,0.9210078746600967,200,2.0,0.020806830638340622,0.05156235469702039,0.34965108064503314,,,,0.0036381145397964827
iv20,4752,7792,3896,0.46825276195257787,200,2.0,0.010260144009404783,0.02670030964264244,0.21483543881617984,1.0451676240936991,0.9728828703483904,0.7200176818281331,0.00045845325612271163
iv40,33694,60832,30416,0.23604019455678024,266,2.0,0.002363309745968007,0.0057775596613241454,0.036871876468498876,2.143344027084593,2.2345694416057778,2.5728575896449715,4.477074134662309e-05
iv80,252780,479936,239968,0.11856838008967703,548,2.0,0.00042673203684226045,0.0010810357055028466,0.006793452863924521,2.486029906948419,2.434323840442243,2.4567315014755486,3.8419139281285586e-06
