mesh,h,time,cfl,steps,quantity,L1,L2,Linf,order_L1,order_L2,order_Linf
iv10,0.9210078746600967,2,0.5,60,rho_point,0.020806727643801377,0.05156218036002536,0.3496498374947221,,,
iv10,0.9210078746600967,2,0.5,60,pressure_point,0.027337113144317554,0.07589146540844456,0.49846040100940814,,,
iv20,0.46825276195257787,2,0.5,124,rho_point,0.010260157302746405,0.02670036473727225,0.21483610588415325,1.0451583912161806,0.9728748217767202,0.7200078358374407
iv20,0.46825276195257787,2,0.5,124,pressure_point,0.014717665604153113,0.04307783349783417,0.33185997867542005,0.9153481410829366,0.8371454068519238,0.6013819184522496
iv40,0.23604019455678024,2,0.5,266,rho_point,0.002363309745968019,0.005777559661324198,0.03687187646849843,2.1433459184958346,2.234572453904667,2.5728621224708257
iv40,0.23604019455678024,2,0.5,266,pressure_point,0.003446014142876963,0.009822985057539757,0.06706510025511003,2.119441273860065,2.1580587901099917,2.3343576910395236
iv80,0.11856838008967703,2,0.5,548,rho_point,0.00042673203684226495,0.001081035705502846,0.006793452863924299,2.4860299069483704,2.434323840442242,2.456731501475579
iv80,0.11856838008967703,2,0.5,548,pressure_point,0.0005516205295319261,0.0015524202765031048,0.010576069519579234,2.6609738862305514,2.6795599223923947,2.6826972159929685
