mesh,h_3d,quantity,L1,L2,Linf,order_L1,order_L2,order_Linf
iv10,0.9210078746600966,conservative.rho.dx,0.01261036624574288,0.041957239883584053,0.27215458789969466,,,
iv10,0.9210078746600966,conservative.rho.dy,0.012795676675642492,0.04203799995856598,0.27605169072378394,,,
iv10,0.9210078746600966,conservative.rho.dz,0.0003565563568332161,0.0010035990635424603,0.009167535824764896,,,
iv10,0.9210078746600966,conservative.rho.gradient,0.019537706556140275,0.059402109644736974,0.28567908109901774,,,
iv10,0.9210078746600966,conservative.rho.value,0.0012711828173328685,0.003638114539796492,0.017091037412003907,,,
iv10,0.9210078746600966,conservative.rhoE.dx,0.08148803123499303,0.23510751955460804,1.6812852244552563,,,
iv10,0.9210078746600966,conservative.rhoE.dy,0.08316589216622026,0.23603785089695295,1.6652076792626103,,,
iv10,0.9210078746600966,conservative.rhoE.dz,0.002133549598464334,0.00567787773291447,0.04833148831623296,,,
iv10,0.9210078746600966,conservative.rhoE.gradient,0.12676999347526507,0.3331991162994323,1.7771588059769712,,,
iv10,0.9210078746600966,conservative.rhoE.value,0.00691004406040622,0.018206076101365796,0.0886468559164002,,,
iv10,0.9210078746600966,conservative.rhou.dx,0.027890965971082114,0.06484149877608134,0.28445755411326473,,,
iv10,0.9210078746600966,conservative.rhou.dy,0.04198674702983494,0.09744878731191503,0.5515712227875458,,,
iv10,0.9210078746600966,conservative.rhou.dz,0.0009444583766578407,0.0020084810333074925,0.009391135852065118,,,
iv10,0.9210078746600966,conservative.rhou.gradient,0.055848749037989115,0.11706716067348935,0.5571890834460976,,,
iv10,0.9210078746600966,conservative.rhou.value,0.0023921543470271428,0.005051249228303017,0.025017966122916846,,,
iv10,0.9210078746600966,conservative.rhov.dx,0.0419434182120224,0.09790957763800423,0.5668399867658733,,,
iv10,0.9210078746600966,conservative.rhov.dy,0.028113609478635018,0.0649435473448206,0.2777160569650843,,,
iv10,0.9210078746600966,conservative.rhov.dz,0.0009438866816999825,0.002000982216101111,0.009204162664125087,,,
iv10,0.9210078746600966,conservative.rhov.gradient,0.05587775926706305,0.11750724941385735,0.5724594743381446,,,
iv10,0.9210078746600966,conservative.rhov.value,0.0023866092392864227,0.005085298568712315,0.0249855166102515,,,
iv10,0.9210078746600966,conservative.rhow.dx,0.0,0.0,0.0,,,
iv10,0.9210078746600966,conservative.rhow.dy,0.0,0.0,0.0,,,
iv10,0.9210078746600966,conservative.rhow.dz,0.0,0.0,0.0,,,
iv10,0.9210078746600966,conservative.rhow.gradient,0.0,0.0,0.0,,,
iv10,0.9210078746600966,conservative.rhow.value,0.0,0.0,0.0,,,
iv10,0.9210078746600966,primitive.p.dx,0.015744620646611546,0.06021272979241093,0.3935638877395995,,,
iv10,0.9210078746600966,primitive.p.dy,0.015958437800267854,0.060285797143532875,0.3987832194558991,,,
iv10,0.9210078746600966,primitive.p.dz,0.00045546991451635545,0.0014956321844220104,0.015567752300948187,,,
iv10,0.9210078746600966,primitive.p.gradient,0.024407683303137532,0.08521846678928323,0.4127030094731291,,,
iv10,0.9210078746600966,primitive.p.value,0.0018392921199936,0.005824435714752558,0.028384389676777866,,,
iv10,0.9210078746600966,primitive.rho.dx,0.01261036624574288,0.041957239883584053,0.27215458789969466,,,
iv10,0.9210078746600966,primitive.rho.dy,0.012795676675642492,0.04203799995856598,0.27605169072378394,,,
iv10,0.9210078746600966,primitive.rho.dz,0.0003565563568332161,0.0010035990635424603,0.009167535824764896,,,
iv10,0.9210078746600966,primitive.rho.gradient,0.019537706556140275,0.059402109644736974,0.28567908109901774,,,
iv10,0.9210078746600966,primitive.rho.value,0.0012711828173328685,0.003638114539796492,0.017091037412003907,,,
iv10,0.9210078746600966,primitive.u.dx,0.02325815174195937,0.054962886719484495,0.20607023726837095,,,
iv10,0.9210078746600966,primitive.u.dy,0.04136122980879462,0.09181350539020118,0.38083696842777415,,,
iv10,0.9210078746600966,primitive.u.dz,0.0008556701313433111,0.0018859724200114415,0.008391126153490124,,,
iv10,0.9210078746600966,primitive.u.gradient,0.05231738535343332,0.1070242756599849,0.3808499691449226,,,
iv10,0.9210078746600966,primitive.u.value,0.0021253051961869886,0.00463136994683824,0.02203198734599665,,,
iv10,0.9210078746600966,primitive.v.dx,0.04135998180025273,0.09186225021636113,0.38443348494767604,,,
iv10,0.9210078746600966,primitive.v.dy,0.023213047876623854,0.054902954202990344,0.2054762126068468,,,
iv10,0.9210078746600966,primitive.v.dz,0.0008522428392901903,0.0018893860270366531,0.008480336650471949,,,
iv10,0.9210078746600966,primitive.v.gradient,0.05232324542450084,0.10703540150150398,0.3844355395005754,,,
iv10,0.9210078746600966,primitive.v.value,0.0020094808256103697,0.0043268234037144035,0.02188237500773771,,,
iv10,0.9210078746600966,primitive.w.dx,0.0,0.0,0.0,,,
iv10,0.9210078746600966,primitive.w.dy,0.0,0.0,0.0,,,
iv10,0.9210078746600966,primitive.w.dz,0.0,0.0,0.0,,,
iv10,0.9210078746600966,primitive.w.gradient,0.0,0.0,0.0,,,
iv10,0.9210078746600966,primitive.w.value,0.0,0.0,0.0,,,
iv20,0.4682527619525807,conservative.rho.dx,0.005134585164024785,0.017275519495980714,0.13284150806768397,1.3282672724772353,1.3117702535345586,1.0602446948971556
iv20,0.4682527619525807,conservative.rho.dy,0.00513769267502879,0.017337184588712334,0.13316313550922404,1.3489383021535437,1.309345598147759,1.077687964630312
iv20,0.4682527619525807,conservative.rho.dz,1.0526222375586412e-16,3.019105107772347e-16,4.058469353263428e-15,,,
iv20,0.4682527619525807,conservative.rho.gradient,0.008006532236897717,0.024474916615161196,0.13382727344125278,1.3187595317116976,1.3107656119998519,1.1210104572738961
iv20,0.4682527619525807,conservative.rho.value,0.00014106990174613763,0.00045845325612270795,0.003693730127706907,3.249928225329238,3.06206049832447,2.264607798122168
iv20,0.4682527619525807,conservative.rhoE.dx,0.031291739496960735,0.09911347671284787,0.9209127858310813,1.414867862421459,1.2769078346797686,0.8898503228410934
iv20,0.4682527619525807,conservative.rhoE.dy,0.031257177989657464,0.09913343927222718,0.9247116058942777,1.446630646319134,1.2824482140116544,0.8695605269646282
iv20,0.4682527619525807,conservative.rhoE.dz,5.885096118248258e-16,1.5083904870279947e-15,1.831606271573163e-14,,,
iv20,0.4682527619525807,conservative.rhoE.gradient,0.048847611514205184,0.14018173935305744,0.9311456377445131,1.409792741440197,1.279898435316541,0.9554965022456845
iv20,0.4682527619525807,conservative.rhoE.value,0.0008737859246606299,0.0026760862615876945,0.023610449679110967,3.056935850481669,2.834460323922458,1.9557261194830933
iv20,0.4682527619525807,conservative.rhou.dx,0.01114996702198653,0.026960019014863813,0.13806883669533185,1.3553880881323033,1.2973278104084365,1.068549951217293
iv20,0.4682527619525807,conservative.rhou.dy,0.015404978828411698,0.04027114917998535,0.3295501461865521,1.4822203089086894,1.3063465949056992,0.7613786168508945
iv20,0.4682527619525807,conservative.rhou.dz,2.807097226005452e-16,6.630024250711457e-16,5.7774137351402455e-15,,,
iv20,0.4682527619525807,conservative.rhou.gradient,0.02077616671350509,0.0484624399051312,0.32964336990926735,1.4617865378346955,1.3037848182208136,0.7759409398127091
iv20,0.4682527619525807,conservative.rhou.value,0.0003397145398507042,0.0008545166972613738,0.00577246083035432,2.885378238264125,2.626694720340873,2.167896082078478
iv20,0.4682527619525807,conservative.rhov.dx,0.015402639664156309,0.04020928117086694,0.3287461429776226,1.4809184724039988,1.3155930517005643,0.8053557098101719
iv20,0.4682527619525807,conservative.rhov.dy,0.011070178934588625,0.026881644216300016,0.15819263994841493,1.377758321513782,1.3039562659705588,0.8319566493710385
iv20,0.4682527619525807,conservative.rhov.dz,2.826368436877804e-16,7.011829896178785e-16,6.702971511174371e-15,,,
iv20,0.4682527619525807,conservative.rhov.gradient,0.02073515532423583,0.048367438303569106,0.3287520766558758,1.4654751826913148,1.3122324291764307,0.8199121326968783
iv20,0.4682527619525807,conservative.rhov.value,0.00034910545480120136,0.0008748761390036076,0.005671414514740625,2.841637177501352,2.6018179932296235,2.1920837914334927
iv20,0.4682527619525807,conservative.rhow.dx,0.0,0.0,0.0,,,
iv20,0.4682527619525807,conservative.rhow.dy,0.0,0.0,0.0,,,
iv20,0.4682527619525807,conservative.rhow.dz,0.0,0.0,0.0,,,
iv20,0.4682527619525807,conservative.rhow.gradient,0.0,0.0,0.0,,,
iv20,0.4682527619525807,conservative.rhow.value,0.0,0.0,0.0,,,
iv20,0.4682527619525807,primitive.p.dx,0.006534059331072801,0.02479851725338117,0.1948400624986658,1.3001063131646795,1.3113849608262782,1.0393283009016447
iv20,0.4682527619525807,primitive.p.dy,0.006545511659957169,0.024907276285901312,0.19529870019148143,1.3174580558180082,1.3067086086789785,1.0553283437967675
iv20,0.4682527619525807,primitive.p.dz,1.5017072081747654e-16,4.283966180688597e-16,6.558213916892205e-15,,,
iv20,0.4682527619525807,primitive.p.gradient,0.010172967141795117,0.03514738781116548,0.19573604677944656,1.2937403570996822,1.3092679580763322,1.1027419140772063
iv20,0.4682527619525807,primitive.p.value,0.00018437252428708955,0.0006886461035005673,0.00596798931650433,3.4003142555590977,3.1562676369333564,2.305278158443503
iv20,0.4682527619525807,primitive.rho.dx,0.005134585164024785,0.017275519495980714,0.13284150806768397,1.3282672724772353,1.3117702535345586,1.0602446948971556
iv20,0.4682527619525807,primitive.rho.dy,0.00513769267502879,0.017337184588712334,0.13316313550922404,1.3489383021535437,1.309345598147759,1.077687964630312
iv20,0.4682527619525807,primitive.rho.dz,1.0526222375586412e-16,3.019105107772347e-16,4.058469353263428e-15,,,
iv20,0.4682527619525807,primitive.rho.gradient,0.008006532236897717,0.024474916615161196,0.13382727344125278,1.3187595317116976,1.3107656119998519,1.1210104572738961
iv20,0.4682527619525807,primitive.rho.value,0.00014106990174613763,0.00045845325612270795,0.003693730127706907,3.249928225329238,3.06206049832447,2.264607798122168
iv20,0.4682527619525807,primitive.u.dx,0.009108909091566867,0.02233162196722393,0.10929613491599871,1.3857467510728898,1.3314224191416384,0.9374622460926625
iv20,0.4682527619525807,primitive.u.dy,0.015183291938960902,0.03637404416629243,0.17311702993033806,1.4814591281773508,1.3687483103834301,1.165483747531719
iv20,0.4682527619525807,primitive.u.dz,2.9171649973065017e-16,6.846213002577116e-16,5.9605232327572545e-15,,,
iv20,0.4682527619525807,primitive.u.gradient,0.019542065965669625,0.042682226145064076,0.17386670403223195,1.4557532686944998,1.3589460264201954,1.1591464051362517
iv20,0.4682527619525807,primitive.u.value,0.0002963717773212733,0.0007324480128766296,0.004153977492908828,2.912300820119855,2.726273064356478,2.466410734675944
iv20,0.4682527619525807,primitive.v.dx,0.01521415546312316,0.036340398324648124,0.172946044697684,1.478412622829789,1.370900978133748,1.1808395296192855
iv20,0.4682527619525807,primitive.v.dy,0.009073617048328791,0.022194427100849203,0.1092902700773627,1.3886158392618222,1.338919474589071,0.9332740726203769
iv20,0.4682527619525807,primitive.v.dz,2.8825090310285045e-16,7.211812839705599e-16,1.0507628538073698e-14,,,
iv20,0.4682527619525807,primitive.v.gradient,0.019515678364914905,0.042581887519566305,0.17350695659086995,1.4579163128643735,1.3625789779074586,1.1760607064694975
iv20,0.4682527619525807,primitive.v.value,0.00030160653153009267,0.0007662592774356014,0.005350041242537351,2.803576572390124,2.5590093207383244,2.0822761541073453
iv20,0.4682527619525807,primitive.w.dx,0.0,0.0,0.0,,,
iv20,0.4682527619525807,primitive.w.dy,0.0,0.0,0.0,,,
