mesh,h,location,quantity,L1,L2,Linf,order_L1,order_L2,order_Linf
iv10,0.921007874660096,face_norms,M2.D.rho,0.008959607109733769,0.02940633292307687,0.24531287678563118,,,
iv10,0.921007874660096,face_norms,M2.D.rhoE,0.04819719253139463,0.14672996447585337,1.2509557323270561,,,
iv10,0.921007874660096,face_norms,M2.D.rhou,0.02202495275073074,0.05899672179853366,0.5044102546287339,,,
iv10,0.921007874660096,face_norms,M2.D.rhov,0.0221186921071042,0.059944936993628586,0.45633187034594513,,,
iv10,0.921007874660096,face_norms,M2.D.rhow,1.1138442415268254e-17,4.6884777835470125e-17,4.440892098500626e-16,,,
iv10,0.921007874660096,face_norms,M2.integrated_D.rho,0.0039364297680206705,0.012536579456753415,0.09606252257217442,,,
iv10,0.921007874660096,face_norms,M2.integrated_D.rhoE,0.021555418516041737,0.06377465262398088,0.500730419121842,,,
iv10,0.921007874660096,face_norms,M2.integrated_D.rhou,0.010148377466376288,0.027300527681695413,0.23306797126716336,,,
iv10,0.921007874660096,face_norms,M2.integrated_D.rhov,0.010181473222560704,0.027647692057937955,0.23672370587280087,,,
iv10,0.921007874660096,face_norms,M2.integrated_D.rhow,8.265619929243133e-18,3.625825663507519e-17,3.8459253727671247e-16,,,
iv10,0.921007874660096,face_norms,Roe.D.rho,0.007871609328706093,0.021657205116011782,0.1462815314497098,,,
iv10,0.921007874660096,face_norms,Roe.D.rhoE,0.045282406906946064,0.12726348112170455,0.8233768138705067,,,
iv10,0.921007874660096,face_norms,Roe.D.rhou,0.015584460526359329,0.04341386510005118,0.3294743271020948,,,
iv10,0.921007874660096,face_norms,Roe.D.rhov,0.015486299634951168,0.04385885336784745,0.356963509395962,,,
iv10,0.921007874660096,face_norms,Roe.D.rhow,1.1642659815649439e-17,4.7126355010128836e-17,4.440892098500626e-16,,,
iv10,0.921007874660096,face_norms,Roe.integrated_D.rho,0.0035812618921333642,0.009732887846487336,0.06742682299628368,,,
