mesh,h,test,L1,L2,Linf,order_L1,order_L2,order_Linf
iv10,0.921007874660096,rho_compact15_initial,0.013146349403134201,0.04228781878768865,0.2061393174918257,,,
iv10,0.921007874660096,rho_compact15_reference,0.01370839902784382,0.04409532569243137,0.21327724460472858,,,
iv10,0.921007874660096,rho_cubic_taylor_term,0.03779514506967497,0.1263670422957036,0.6135663118161858,,,
iv10,0.921007874660096,rho_higher_taylor_remainder,0.022675428963174562,0.06867319095317775,0.323544842996797,,,
iv10,0.921007874660096,rho_initial,0.0195377065561403,0.059402109644736925,0.2856790810990173,,,
iv10,0.921007874660096,rho_initial_halfbox_z,0.0195377065561403,0.059402109644736925,0.2856790810990173,,,
iv10,0.921007874660096,rho_initial_no_halfbox_z,0.0,0.0,0.0,,,
iv10,0.921007874660096,rho_initialization_gradient_change,0.0004834864903122885,0.0011092486815720256,0.004749228033054034,,,
iv10,0.921007874660096,rho_power4_initial,0.01234422057891784,0.03968150741795905,0.1949564797055285,,,
iv10,0.921007874660096,rho_power4_reference,0.012855675879436557,0.04165726988705532,0.20465544103705302,,,
iv10,0.921007874660096,rho_reference5,0.01984100280390204,0.060356168563702274,0.2902116341144195,,,
iv10,0.921007874660096,rho_reference6,0.019841003146966515,0.06035616824984573,0.2902116303104263,,,
iv10,0.921007874660096,rho_reference_order_change,1.4902088057245315e-09,3.196926369203816e-09,1.2666960138673467e-08,,,
iv10,0.921007874660096,wave1_initial,0.08777672338507153,0.09140960339741397,0.1393496267167108,,,
iv10,0.921007874660096,wave1_reference,0.08839092474092691,0.09204389228642398,0.14053637981631567,,,
iv10,0.921007874660096,wave2_initial,0.5102795640241096,0.5356515786569509,0.8061017799599357,,,
iv10,0.921007874660096,wave2_reference,0.5202675901472068,0.5461397981837912,0.8225982794929041,,,
iv20,0.4682527619525807,rho_compact15_initial,0.004404875994807078,0.013870484457520748,0.08144128411052731,1.6164022114637082,1.6478954252712144,1.3728371857514219
iv20,0.4682527619525807,rho_compact15_reference,0.004540546583505233,0.014334487316661442,0.08409491811469708,1.6334458045577598,1.6611253784605566,1.3757595747624274
iv20,0.4682527619525807,rho_cubic_taylor_term,0.009924973679291703,0.031330239533672165,0.18154106914108578,1.9766516828795535,2.0616241040660914,1.8002628651173658
iv20,0.4682527619525807,rho_higher_taylor_remainder,0.0024048752755321833,0.007238162211503501,0.04585422413915447,3.316948115804003,3.3261248274172193,2.8883738839444235
iv20,0.4682527619525807,rho_initial,0.008006532236897717,0.024474916615161213,0.13382727344125322,1.3187595317117005,1.3107656119998503,1.12101045727389
iv20,0.4682527619525807,rho_initial_halfbox_z,0.0,0.0,0.0,,,
iv20,0.4682527619525807,rho_initial_no_halfbox_z,0.008006532236897717,0.024474916615161213,0.13382727344125322,,,
iv20,0.4682527619525807,rho_initialization_gradient_change,0.00013156740992218224,0.0003777709757540336,0.0022179193263395023,1.92399160778165,1.59233291262106,1.1255834482028895
iv20,0.4682527619525807,rho_power4_initial,0.004573933498659138,0.014408533635205181,0.0814816813359321,1.4676609393984137,1.4975964689985148,1.2896515383016842
iv20,0.4682527619525807,rho_power4_reference,0.004706923606469648,0.014862971946323232,0.08426710702975103,1.4853064027636615,1.523522982577982,1.3117342275812247
iv20,0.4682527619525807,rho_reference5,0.00811169300563275,0.0248273543028035,0.13578795207306268,1.3222416480154164,1.3131843109088126,1.1227796876158787
iv20,0.4682527619525807,rho_reference6,0.008111693043500868,0.024827354456107665,0.1357879530245137,1.3222416666748176,1.3131842940935141,1.1227796578808895
iv20,0.4682527619525807,rho_reference_order_change,7.228544599181463e-11,1.9317968585655007e-10,1.130005983746391e-09,4.4733571359593265,4.1485422777706304,3.572676689491747
iv20,0.4682527619525807,wave1_initial,0.02430593693928915,0.02539156301933292,0.04179488448631647,1.8982276248590038,1.8935826692113649,1.7801666127881621
iv20,0.4682527619525807,wave1_reference,0.024354511091298714,0.02543910875670675,0.04186640140426424,1.9055842915358518,1.9010395142155032,1.790175526187177
iv20,0.4682527619525807,wave2_initial,0.18198314469598265,0.1897435282192073,0.28305003901433007,1.524176064832089,1.5341780288044828,1.5471510183592003
iv20,0.4682527619525807,wave2_reference,0.18339509068434307,0.19120697694753466,0.28479171505385664,1.5414066616333628,1.5514856098421101,1.5680296426896054
iv40,0.23604019455677508,rho_compact15_initial,0.001200620995480134,0.0037829170152217264,0.020991845299622898,1.8976081024371483,1.8967242624312652,1.9791768439008084
iv40,0.23604019455677508,rho_compact15_reference,0.0012099091223577495,0.0038188865984470407,0.021197726823758662,1.9306427811632048,1.9309453684394193,2.011737006116572
iv40,0.23604019455677508,rho_cubic_taylor_term,0.0024414251615824134,0.007754525264039983,0.04372855458066584,2.047386373603521,2.0383863800926902,2.0780552516401967
iv40,0.23604019455677508,rho_higher_taylor_remainder,0.00017621412331297016,0.0005405588468074896,0.0036521875140231815,3.815372342337962,3.7875852241975996,3.6936034495607557
iv40,0.23604019455677508,rho_initial,0.002309167764107868,0.007248008229022622,0.040340733367928996,1.815123242389595,1.776512673659081,1.7506241096752684
iv40,0.23604019455677508,rho_initial_halfbox_z,0.0,0.0,0.0,,,
iv40,0.23604019455677508,rho_initial_no_halfbox_z,0.002309167764107868,0.007248008229022622,0.040340733367928996,1.815123242389595,1.776512673659081,1.7506241096752684
iv40,0.23604019455677508,rho_initialization_gradient_change,1.3063426557438128e-05,3.8860754106248926e-05,0.0002626102952023349,3.371798836627459,3.320121043645905,3.1147949269646342
iv40,0.23604019455677508,rho_power4_initial,0.0012697416474411578,0.0040087080308643976,0.022587339548777223,1.8708739113401993,1.867649908212139,1.8729593960331539
iv40,0.23604019455677508,rho_power4_reference,0.001278445029974225,0.0040434026759001715,0.022791506511609924,1.902742106978412,1.9004011327246746,1.9088933524448652
iv40,0.23604019455677508,rho_reference5,0.002318481695767278,0.007281200942697434,0.0405000442709015,1.8282961433171585,1.7907142264407778,1.7661030565309759
iv40,0.23604019455677508,rho_reference6,0.002318481696466067,0.007281200946776907,0.04050004431164124,1.8282961496921932,1.7907142346371043,1.7661030652914373
iv40,0.23604019455677508,rho_reference_order_change,2.6265529078490155e-12,7.822513627664187e-12,5.049627295151343e-11,4.839300470937921,4.681147621787166,4.537300507592576
iv40,0.23604019455677508,wave1_initial,0.0063785840983085025,0.006657416949137073,0.011293317430254565,1.9529379801974975,1.9542677434354556,1.910293521101299
iv40,0.23604019455677508,wave1_reference,0.006381427261557702,0.006660560333870939,0.011340503758696998,1.955201926809203,1.9563096216132883,1.9067025030098341
iv40,0.23604019455677508,wave2_initial,0.050063957759192534,0.052281093559838704,0.08557197301554095,1.884089302644167,1.881791184348995,1.7463579209500586
iv40,0.23604019455677508,wave2_reference,0.05017499455240873,0.052394384551240854,0.08607260245130502,1.892137810090049,1.8898474141438308,1.746797402026498
iv80,0.11856838008968279,rho_compact15_initial,0.00030939747026288494,0.0009827338884905257,0.005664903800405986,1.9694165303964126,1.957717220996266,1.902426720116337
iv80,0.11856838008968279,rho_compact15_reference,0.0003099704922187695,0.0009852100344918675,0.005717853968166737,1.9779218072134581,1.9678071255108631,1.9030894036355228
iv80,0.11856838008968279,rho_cubic_taylor_term,0.000611118460451992,0.0019538439501300643,0.011675725802436917,2.011651034476522,2.0021108688188756,1.9178879006884204
iv80,0.11856838008968279,rho_higher_taylor_remainder,1.1719250589609944e-05,3.636998570994953e-05,0.0002261034687849352,3.936701150230881,3.9198425017659497,4.04072520695245
iv80,0.11856838008968279,rho_initial,0.000603495410198032,0.0019221668405480798,0.01144013542541446,1.9489907385716683,1.9277413908878667,1.8303724597222462
iv80,0.11856838008968279,rho_initial_halfbox_z,0.0,0.0,0.0,,,
iv80,0.11856838008968279,rho_initial_no_halfbox_z,0.000603495410198032,0.0019221668405480798,0.01144013542541446,1.9489907385716683,1.9277413908878667,1.8303724597222462
iv80,0.11856838008968279,rho_initialization_gradient_change,1.179051113509061e-06,4.0286923749029335e-06,5.153066469039455e-05,3.4931933790803797,3.291942807284833,2.3652361579021197
iv80,0.11856838008968279,rho_power4_initial,0.0003300844750756237,0.0010543642272952387,0.006125684890407867,1.9567118742963274,1.9397345742690477,1.895244354282433
iv80,0.11856838008968279,rho_power4_reference,0.0003306197331692846,0.0010567818296959607,0.00614991474046034,1.964280077540401,1.948924327984103,1.9025800891397762
iv80,0.11856838008968279,rho_reference5,0.0006040973756495408,0.0019246696756018097,0.011452133736847888,1.9533891757096702,1.932487661776474,1.8345744382502214
iv80,0.11856838008968279,rho_reference6,0.0006040973756605506,0.0019246696756918837,0.011452133737839196,1.9533891761209548,1.9324876625222482,1.8345744395855021
iv80,0.11856838008968279,rho_reference_order_change,6.155418644589625e-14,1.8057220243397874e-13,1.1866519303008215e-12,,,5.447635260510212
iv80,0.11856838008968279,wave1_initial,0.0016285465971728433,0.0016975470104416935,0.0024446874102818095,1.9829104793608319,1.984782783215486,2.2226095078462107
iv80,0.11856838008968279,wave1_reference,0.0016286529913789036,0.0016976903727089897,0.0024450622229810204,1.9834628411196653,1.9853457395528777,2.228442725746649
iv80,0.11856838008968279,wave2_initial,0.01296243201978581,0.013519226331772417,0.019485715444972147,1.9625591038375316,1.964412297959593,2.1490919343001447
iv80,0.11856838008968279,wave2_reference,0.012969241814110051,0.013526456135006295,0.01945966889834616,1.9650140090660964,1.966779689643879,2.159507052858352
