x,T,u,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR,Y_N2
3.91054687e-02,3.31031803e+02,2.45755399e+00,2.62303020e-02,6.97557380e-08,1.23390330e-06,2.21940421e-01,1.10151944e-05,6.91315497e-04,1.52794499e-04,2.75961643e-05,-1.28519579e-76,7.50945252e-01
3.91083984e-02,3.27641652e+02,2.43484844e+00,2.63382866e-02,4.55866529e-08,1.04518293e-06,2.22003325e-01,8.78227897e-06,5.83939266e-04,1.28463866e-04,2.34123761e-05,-1.15573103e-76,7.50912700e-01
3.91113281e-02,3.24642202e+02,2.41486677e+00,2.64398417e-02,2.95949728e-08,8.90622255e-07,2.22051951e-01,7.04341027e-06,4.94051805e-04,1.07997060e-04,1.98486142e-05,-1.03235452e-76,7.50878346e-01
3.91171875e-02,3.19636877e+02,2.38180428e+00,2.66247927e-02,1.33202088e-08,6.58879435e-07,2.22116867e-01,4.63972426e-06,3.55516152e-04,7.64330754e-05,1.42382850e-05,-8.12758317e-77,7.50806840e-01
3.91230469e-02,3.15694152e+02,2.35608092e+00,2.67877532e-02,6.17987692e-09,4.95144620e-07,2.22152185e-01,3.10451789e-06,2.56976189e-04,5.42526384e-05,1.02048477e-05,-6.33633915e-77,7.50735023e-01
3.91289062e-02,3.12599838e+02,2.33618404e+00,2.69307686e-02,2.93809029e-09,3.77657187e-07,2.22167753e-01,2.10959014e-06,1.87383091e-04,3.88856668e-05,7.35670510e-06,-4.90753648e-77,7.50665363e-01
3.91406250e-02,3.08232694e+02,2.30876273e+00,2.71659601e-02,9.74008161e-10,2.29267941e-07,2.22167256e-01,1.04123348e-06,1.02337151e-04,2.06387861e-05,3.89238968e-06,-2.92981189e-77,7.50538644e-01
3.91523437e-02,3.05438813e+02,2.29184644e+00,2.73474625e-02,3.90224934e-10,1.42775588e-07,2.22149699e-01,5.24760031e-07,5.67510344e-05,1.11737615e-05,2.08141797e-06,-1.74280992e-77,7.50432165e-01
3.91640625e-02,3.03658123e+02,2.28155659e+00,2.74867444e-02,1.75116810e-10,9.14529238e-08,2.22127304e-01,2.70420587e-07,3.25290789e-05,6.28937698e-06,1.15219970e-06,-1.05227947e-77,7.50345619e-01
3.91875000e-02,3.01742343e+02,2.27134670e+00,2.76770972e-02,4.98968262e-11,4.05600801e-08,2.22086771e-01,8.38522603e-08,1.18135471e-05,2.22221733e-06,3.93003858e-07,-4.08738229e-78,7.50221579e-01
3.92109375e-02,3.00851392e+02,2.26721254e+00,2.77942047e-02,1.50324119e-11,1.85591097e-08,2.22057666e-01,2.61577270e-08,4.42092504e-06,8.09978321e-07,1.37969796e-07,-1.61403324e-78,7.50142715e-01
3.92343750e-02,3.00437592e+02,2.26567084e+00,2.78659901e-02,4.60409747e-12,9.00587935e-09,2.22038366e-01,8.22713527e-09,1.79613879e-06,3.22396672e-07,5.29711737e-08,-6.81761750e-79,7.50093456e-01
3.92812500e-02,3.00134533e+02,2.26500053e+00,2.79395375e-02,7.00475810e-13,2.53918903e-09,2.22017625e-01,1.26202546e-09,3.89628823e-07,6.72639026e-08,1.06195536e-08,-1.54056118e-79,7.50042366e-01
3.93281250e-02,3.00042932e+02,2.26502000e+00,2.79718975e-02,1.07033273e-13,7.42921241e-10,2.22008262e-01,1.92783846e-10,8.75145122e-08,1.44246750e-08,2.20395913e-09,-3.47996637e-80,7.50019735e-01
3.93750000e-02,3.00015242e+02,2.26512345e+00,2.79861225e-02,1.53614886e-14,2.44125930e-10,2.22004095e-01,2.77489052e-11,2.27429852e-08,3.59194125e-09,5.33675359e-10,-8.01350358e-81,7.50009755e-01
3.94687500e-02,3.00002829e+02,2.26524426e+00,2.79958874e-02,9.57432868e-16,4.08473088e-11,2.22001217e-01,1.69527452e-12,2.81293533e-09,4.16471750e-10,6.05301148e-11,6.27669344e-82,7.50002893e-01
3.95625000e-02,3.00000619e+02,2.26528797e+00,2.79986365e-02,5.68862957e-17,8.11852516e-12,2.22000404e-01,9.34767525e-14,4.24409591e-10,5.90049322e-11,8.43240595e-12,1.71277982e-81,7.50000959e-01
3.97500000e-02,3.00000061e+02,2.26530877e+00,2.79997752e-02,1.95677805e-18,7.10379824e-13,2.22000067e-01,2.62418698e-15,2.70584257e-11,3.48780808e-12,4.93004710e-13,1.90071505e-81,7.50000158e-01
3.99375000e-02,3.00000006e+02,2.26531246e+00,2.79999617e-02,1.14222284e-19,6.32762622e-14,2.22000011e-01,1.23258200e-16,1.75619787e-12,2.08867464e-13,3.04824164e-14,1.91367186e-81,7.50000027e-01
4.01250000e-02,3.00000001e+02,2.26531309e+00,2.79999922e-02,1.06401129e-20,6.75771726e-15,2.22000002e-01,1.03427451e-17,1.45194689e-13,1.52261470e-14,3.53765168e-15,1.91489733e-81,7.50000005e-01
4.05000000e-02,3.00000000e+02,2.26531324e+00,2.79999993e-02,1.27986038e-23,6.90934600e-18,2.22000000e-01,1.15716826e-20,5.42755583e-15,-4.86898057e-16,1.40327741e-15,1.91489651e-81,7.50000000e-01
4.08750000e-02,3.00000000e+02,2.26531325e+00,2.79999999e-02,-4.65230730e-22,-3.02973510e-16,2.22000000e-01,-4.44622996e-19,8.32982058e-16,-9.61586528e-16,1.33924282e-15,1.91424049e-81,7.50000000e-01
4.12500000e-02,3.00000000e+02,2.26531325e+00,2.80000000e-02,-4.91648462e-22,-3.20147221e-16,2.22000000e-01,-4.69790622e-19,6.85314758e-16,-9.63553257e-16,1.33732166e-15,1.91317395e-81,7.50000000e-01
4.20000000e-02,3.00000000e+02,2.26531325e+00,2.80000000e-02,-5.02998663e-22,-3.27537749e-16,2.22000000e-01,-4.80633052e-19,6.85965930e-16,-9.37237031e-16,1.33724403e-15,1.91004553e-81,7.50000000e-01
4.35000000e-02,3.00000000e+02,2.26531325e+00,2.80000000e-02,-5.23522049e-22,-3.40913007e-16,2.22000000e-01,-5.00227926e-19,7.00867823e-16,-8.82130684e-16,1.33724244e-15,1.89899750e-81,7.50000000e-01
4.50000000e-02,3.00000000e+02,2.26531325e+00,2.80000000e-02,-5.44341586e-22,-3.54804771e-16,2.22000000e-01,-5.19640154e-19,7.16531146e-16,-8.24766729e-16,1.33724243e-15,1.87373709e-81,7.50000000e-01
4.80000000e-02,3.00000000e+02,2.26531325e+00,2.80000000e-02,-5.57317754e-22,-3.83724268e-16,2.22000000e-01,-5.03024048e-19,7.49079999e-16,-7.05463484e-16,1.33724242e-15,1.76962407e-81,7.50000000e-01
5.40000000e-02,3.00000000e+02,2.26531325e+00,2.80000000e-02,6.20051419e-21,-4.46278430e-16,2.22000000e-01,6.48226176e-18,8.12115296e-16,-4.61135381e-16,1.33724241e-15,1.24849250e-81,7.50000000e-01
6.00000000e-02,3.00000000e+02,2.26531325e+00,2.80000000e-02,4.17338366e-17,-5.19021537e-16,2.22000000e-01,8.48176575e-16,1.72117597e-18,-3.17387992e-15,1.33724195e-15,2.72414654e-83,7.50000000e-01

