mesh,quantity,traditional_L2,efficient_L2,ratio,traditional_order,efficient_order
iv10,rho_point,0.04896285040237414,0.051562180360025384,0.9495884398312523,,
iv10,pressure_point,0.07306452747116861,0.07589146540844456,0.9627502523233477,,
iv20,rho_point,0.022378154884317724,0.02670036473727229,0.8381216925130244,1.157461194642861,0.9728748217767202
iv20,pressure_point,0.03680373377838485,0.043077833497834214,0.8543543347005879,1.0137234070585752,0.8371454068519238
iv40,rho_point,0.004592901477379055,0.005777559661324139,0.7949552659965822,2.311765140624228,2.234572453904667
iv40,pressure_point,0.007590461571976546,0.009822985057539651,0.7727245361276889,2.304660968523915,2.1580587901099917
iv80,rho_point,0.0008304398939109487,0.001081035705502899,0.7681891446172234,2.484068573746833,2.434323840442242
iv80,pressure_point,0.0011823615746227726,0.0015524202765031766,0.7616246660253881,2.700574447273004,2.6795599223923947
