mesh,h,time,cfl,steps,quantity,L1,L2,Linf,order_L1,order_L2,order_Linf
iv10,0.9210078746600957,2,0.5,60,rho_point,0.019497743468519742,0.04896285040237409,0.33293440186806,,,
iv10,0.9210078746600957,2,0.5,60,pressure_point,0.025926133372058385,0.07306452747116855,0.48160493731714193,,,
iv20,0.4682527619525769,2,0.5,124,rho_point,0.008579230723306823,0.02237815488431772,0.17817353883169063,1.2136032707253757,1.157461194642861,0.9242041602997288
iv20,0.4682527619525769,2,0.5,124,pressure_point,0.012554710379461697,0.036803733778384855,0.28335569512656555,1.071985298137278,1.0137234070585752,0.7841127227257624
iv40,0.23604019455677977,2,0.5,266,rho_point,0.0018772730835305215,0.004592901477379109,0.02981798961409221,2.2182633700523122,2.311765140624228,2.609679002786162
iv40,0.23604019455677977,2,0.5,266,pressure_point,0.002697701800788786,0.007590461571976638,0.050717971799578376,2.2447911394450166,2.304660968523915,2.5115434400333077
iv80,0.11856838008967682,2,0.5,548,rho_point,0.00032704619576189557,0.0008304398939109275,0.005172976283035813,2.5380435055676394,2.484068573746833,2.5441285103747178
iv80,0.11856838008967682,2,0.5,548,pressure_point,0.0004184901669803812,0.0011823615746227433,0.008150511284147455,2.706563419768772,2.700574447273004,2.6552898971007117
